,Paths,Accumulated Latency,Accumulated Noise,Accumulated SNR
201,D->A->B->F->E->C,0.13138609107122182,2.6277218214244366e-05,36.390529427856116
202,D->A->C,0.013707381489543619,2.7414762979087243e-06,58.99258708822792
203,D->B->A->C,0.025276129103266234,5.0552258206532474e-06,52.87332754776887
204,D->B->F->E->C,0.03521956882985135,7.0439137659702715e-06,49.55591330619271
205,D->C,0.0028284271247461905,5.656854249492382e-07,74.77472420576319
206,D->E->C,0.00805052724005124,1.6101054480102482e-06,64.31455606471974
207,D->E->F->B->A->C,0.12818734823270278,2.5637469646540562e-05,36.6370033953205
208,D->F->B->A->C,0.07482069197619744,1.4964138395239488e-05,42.020987139931954
209,D->F->E->C,0.024384000576873083,4.876800115374618e-06,53.23265988254149
210,D->A->B->F->E,0.06378910225914493,1.2757820451828987e-05,43.6161082664054
211,D->A->C->E,0.03311564010458293,6.623128020916587e-06,50.17187509918779
212,D->B->A->C->E,0.05625313533202816,1.1250627066405632e-05,44.87331412649026
213,D->B->F->E,0.015705841138459697,3.14116822769194e-06,57.631605012186625
214,D->C->A->B->F->E,0.08209506714931082,1.641901342986217e-05,41.09315260206167
215,D->C->E,0.011357731374988071,2.2715462749976144e-06,60.872945009724916
216,D->E,0.0021213203435596424,4.242640687119286e-07,77.651544930281
217,D->F->B->A->C->E,0.15534226107789056,3.1068452215578116e-05,34.71562372859943
218,D->F->E,0.010288057011970565,2.0576114023941135e-06,61.862094823373226
219,D->A->B->F,0.030993163310706465,6.198632662141294e-06,50.8342654961756
220,D->A->C->E->F,0.07290211224122903,1.4580422448245808e-05,42.28075578318922
221,D->B->A->C->E->F,0.11917710269611949,2.38354205392239e-05,37.36582546712426
222,D->B->F,0.006951532750363851,1.3903065500727706e-06,65.78231016534126
223,D->C->A->B->F,0.04014614575578941,8.029229151157885e-06,48.24666751751204
224,D->C->E->F,0.02938629478203931,5.877258956407863e-06,51.36664789635974
225,D->E->C->A->B->F,0.0819229466782298,1.6384589335645966e-05,41.11414060578716
226,D->E->F,0.010913472719182452,2.182694543836491e-06,61.271951361536665
227,D->F,0.004242640687119285,8.485281374238572e-07,70.72007312468155
228,E->C->A,0.009196911935948097,1.8393823871896198e-06,62.983254228434554
229,E->C->D->A,0.027392396230961628,5.478479246192326e-06,52.06927726354107
230,E->C->D->B->A,0.055619418800478736,1.1123883760095748e-05,44.98660792135012
231,E->C->D->F->B->A,0.12527699776225593,2.5055399552451186e-05,36.86665923682986
232,E->D->A,0.01256552057416974,2.513104114833949e-06,59.86236590783896
233,E->D->B->A,0.02596566748689496,5.1931334973789915e-06,52.60418007271679
234,E->D->C->A,0.022469539291304384,4.493907858260878e-06,54.05032608708928
235,E->D->F->B->A,0.06596949513508837,1.3193899027017676e-05,43.280007511577125
236,E->F->B->A,0.04521916809140827,9.043833618281654e-06,47.05672121652749
237,E->F->B->D->A,0.08782290660151577,1.756458132030316e-05,40.418708295687445
238,E->F->B->D->C->A,0.17298431134599646,3.4596862269199305e-05,33.63992286891961
239,E->F->D->A,0.03944332527246515,7.888665054493032e-06,48.423283530536956
240,E->F->D->B->A,0.07972127688348578,1.5944255376697157e-05,41.386566790964814
241,E->F->D->C->A,0.07622514868789522,1.5245029737579046e-05,41.83501747899083
242,E->C->A->B,0.02192935777782893,4.3858715555657876e-06,54.29366914511977
243,E->C->A->D->B,0.04581763441202939,9.16352688240588e-06,46.925241435711115
244,E->C->A->D->F->B,0.10260719597991848,2.05214391959837e-05,38.862851248824846
245,E->C->D->A->B,0.058320326367855994,1.16640652735712e-05,44.5124250757484
246,E->C->D->B,0.023856862325028892,4.771372465005779e-06,53.45121286955055
247,E->C->D->F->B,0.058685651805917484,1.1737130361183499e-05,44.449979270685844
248,E->D->A->B,0.02866657505427222,5.733315010854445e-06,51.614613796171476
249,E->D->B,0.009029986668237004,1.805997333647401e-06,63.16642300374147
250,E->D->C->A->B,0.048474612488541506,9.694922497708304e-06,46.361529843670965
251,E->D->F->B,0.02903190049233371,5.806380098466743e-06,51.48797949028092
252,E->F->B,0.018656736970493658,3.7313473940987322e-06,55.90985878893004
253,E->F->D->A->B,0.08242218445086304,1.6484436890172612e-05,41.05338561963764
