,1,2,3,4,5,6,7,8,9,10
SNR,21.041198512692873,21.249743590457424,20.95244338212258,20.938286402020566,21.409434109545646,21.11623892355443,21.329682888960676,20.974462935990758,20.95225855448481,21.288821324253988
Latency,0.0030733592441755334,0.0032530042969518046,0.0034086465822970075,0.00293106450256366,0.0029719604401886447,0.0029068083345763548,0.002851858898565776,0.003207335377043655,0.002980526536163626,0.0028381507218247786
Average_capacity,76.47,75.438,76.363,78.813,76.785,77.685,80.0,76.47,78.688,77.391
Max_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Min_capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_capacity,9100.0,8600.0,8400.0,9300.0,8600.0,9400.0,9600.0,9100.0,9600.0,8900.0
Blocking_event,28,29,28,31,27,28,29,31,33,33
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,16.99564220340178,15.714998320042282,16.99564220340178,16.777779291719458,14.42095037638735,15.512525216677604,16.834002225019713,15.246137510490069,16.73620848215041,16.404867331403132
Rejected_connections,28,28,26,25,26,27,24,28,26,26
Accepted_connections,91,86,84,93,86,94,96,91,96,89
