Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
D->F->E->A,0.006692420439651425,5.923031e-06,15.533122975607448
D->F->E->B->A,0.00920387145671997,8.535167e-06,19.356326521295205
D->F->E->B->C->A,0.010049873409719162,9.468146e-06,14.10535171105969
D->F->E->C->B->A,0.010018899147678745,8.911888e-06,15.243975050995475
D->F->E->C->A,0.006701767696029464,6.657631e-06,19.559578226963698
D->E->A->C->B,0.009385830161677522,1.117776e-05,19.8693368326341
D->E->A->F->B,0.011839500074714772,1.530819e-05,20.087748721561223
D->E->A->B,0.008539828208678327,8.261522e-06,12.403526294731293
D->E->F->A->C->B,0.014184173115104162,1.621455e-05,8.917809389946564
D->E->F->A->B,0.01333817116210497,1.506331e-05,19.130946493954642
D->E->F->B,0.007854357736925856,7.770805e-06,13.69630111296413
D->E->B,0.0053733135662522675,6.120927e-06,23.094148698370272
D->E->C->B,0.006188341257211044,7.650403e-06,11.252174841997157
D->E->C->A->F->B,0.01184884733109281,1.873874e-05,8.94571763432845
D->E->C->A->B,0.008549175465056368,1.697830e-05,19.53904889591287
D->F->A->C->B,0.009826464563040508,8.615531e-06,19.0630760005764
D->F->A->C->E->B,0.01035937822113962,9.217358e-06,12.989377632144144
D->F->A->B,0.008980462610041316,7.198035e-06,14.938973724921006
D->F->A->E->B,0.01035003096476158,8.758623e-06,19.60097612129118
D->F->A->E->C->B,0.011165058655720357,9.816807e-06,12.1063017218308
D->F->B,0.003496649184862203,3.985733e-06,23.99491815839559
D->F->E->A->C->B,0.01037740522239792,9.918100e-06,12.989559124935695
D->F->E->A->B,0.009531403269398726,8.953751e-06,19.453115198601466
D->F->E->B,0.0063648886269726665,5.702863e-06,16.00235240668249
D->F->E->C->B,0.007179916317931443,6.870201e-06,19.118361890791533
D->F->E->C->A->B,0.009540750525776766,8.688634e-06,15.049438259395878
D->E->A->C,0.007304263459353285,7.600142e-06,13.539738884517122
D->E->A->F->B->C,0.013921066777039009,1.685509e-05,8.496541811939466
D->E->A->B->C,0.010621394911002564,1.327608e-05,19.896013014117813
D->E->F->A->C,0.012102606412779925,1.466713e-05,20.020529504402834
D->E->F->A->B->C,0.015419737864429206,1.661300e-05,9.586204768521892
D->E->F->B->A->C,0.012296758647095417,1.273985e-05,12.323147166227814
D->E->F->B->C,0.009935924439250093,1.102236e-05,19.677131034249026
D->E->B->A->C,0.009815714476421829,1.384083e-05,20.32452793326135
D->E->B->C,0.007454880268576505,7.670423e-06,12.890324501504672
D->E->B->F->A->C,0.01311538634245827,1.378080e-05,11.929878584501166
D->E->C,0.004106774554886807,6.104508e-06,24.755314585231428
D->F->A->C,0.007744897860716271,6.537836e-06,16.13060181128096
