Fixed-Rate,Flex-Rate,Shannon-Rate
0.0028178996974077,0.0027928304964347,0.00276668116813037
0.0028155789285541,0.0028147508250416,0.0028325450512769095
0.0029436412128877,0.0029295053212764,0.00280055476402093
0.0030293248577291,0.0028723433222981,0.00280997561031516
0.0031153243322655,0.0028639850588995,0.00293026347784857
0.0030261367746019,0.0028502004344761,0.00283015089307756
0.0030485353950907,0.002901421531608,0.00280986892493639
0.0030842705405809,0.0029002104547061,0.00280335922244744
0.0030298553428295,0.0029735083068804,0.0028202534132967002
0.003042782676929,0.0029973235659383,0.0029052843687853097
