Fixed-Rate,Flex-Rate,Shannon-Rate
17.71041049873793,17.71041049873793,17.71041049873793
17.229449296385297,17.71041049873793,17.71041049873793
16.548707874433706,17.71041049873793,17.71041049873793
16.347419679184963,17.71041049873793,17.71041049873793
16.03442134440346,17.165713649669748,17.71041049873793
15.968340054239528,17.114473558306717,17.71041049873793
16.261386897578504,17.495980010137085,17.348679508608207
16.004598216365906,17.5674568396707,17.71041049873793
15.69368738620432,16.218768422915694,17.308667308736975
15.815233399069031,16.817950692799776,17.42450318060347
