Fixed-Rate,Flex-Rate,Shannon-Rate
21.46112475638609,21.40997075263726,21.44433624070376
21.44495806365078,21.468159494246144,21.37898639012348
21.205939152597697,21.22485060226294,21.44632179468412
21.224826333902648,21.327644155469883,21.435257180089415
21.117624457605245,21.3505107957,21.162514410516145
21.11225779904353,21.36966802880675,21.192393109156107
21.091052662463373,21.300980146507666,21.42060089021787
21.13523251425161,21.30555648153358,21.457164274412094
21.121854780428624,21.164132456945808,21.41261791365178
21.08702751682026,21.147314718387342,21.304952887985472
