Fixed-Rate,Flex-Rate,Shannon-Rate
49.7,57.2,57.7
92.3,52.9,68.4
56.3,62.4,47.9
40.6,70.7,55.2
29.9,84.2,74.8
29.6,76.7,80.4
29.1,102.6,84.5
29.1,88.2,74.9
29.3,55.8,95.5
29.0,61.4,80.4
