Fixed-Rate,Flex-Rate,Shannon-Rate
29.0,29.0,29.0
58.8,29.0,29.0
78.6,30.9,29.0
87.0,31.0,29.0
89.8,60.8,33.0
92.8,61.2,52.7
91.0,63.0,58.8
89.1,62.6,58.8
91.5,81.4,58.9
90.3,81.8,62.8
