,1,2,3,4,5,6,7,8,9,10
SNR,21.050661782131677,21.160863686294643,20.845575049114395,21.29473422124503,21.130641388527124,21.136475581973254,20.937531929368888,21.218927077331827,21.195628845180998,20.93948706346584
Latency,0.0030799539658714916,0.003182450409213561,0.003062162049964517,0.0030475171634621948,0.0030406909058958444,0.0031659168287388887,0.0028718909524765,0.0029120146619241293,0.0031571140570776425,0.0029656429562835264
Average_capacity,76.859,74.782,76.106,74.782,75.63,75.833,76.612,77.343,76.106,78.4
Max_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Min_capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_capacity,9300.0,8600.0,8600.0,8600.0,9000.0,9100.0,9500.0,9900.0,8600.0,9800.0
Blocking_event,28,29,28,29,29,29,29,29,30,31
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,15.269361092378864,16.588381529546133,16.777779291719458,15.269361092378864,15.701694548733165,16.777779291719458,16.99564220340178,16.73620848215041,15.762143756504845,16.735517687252077
Rejected_connections,28,29,27,29,29,29,29,29,27,27
Accepted_connections,93,86,86,86,90,91,95,99,86,98
