,1,2,3,4,5,6,7,8,9,10
SNR,20.971196644590925,20.947556734154627,20.911809892401514,20.91847222738164,20.906865818201084,20.91847222738164,20.907091235538577,20.839934317800527,20.934745596470016,20.839934317800527
Latency,0.002899172591980369,0.002934103242016284,0.0028496180145462066,0.0029144192002197255,0.002931385515951456,0.0029144192002197255,0.0029168246687750654,0.0029666873659321713,0.0028870209497840137,0.0029666873659321713
Average_capacity,538.698,537.897,534.956,537.092,536.703,537.092,533.01,535.177,537.759,535.177
Max_capacity,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337
Min_capacity,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119
Total_capacity,18315.761,18288.529,18723.473,18798.238,18784.622,18798.238,18655.378,18731.196,18821.595,18731.196
Blocking_event,48,90,87,89,65,99,49,47,63,51
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,34,34,35,35,35,35,35,35,35,35
