,1,2,3,4,5,6,7,8,9,10
SNR,21.106416765835064,21.0349819087325,20.867054370236637,21.068442389648613,21.01919615188169,21.059953058670455,21.056481907390676,21.068442389648613,21.053907637998137,21.01919615188169
Latency,0.0028244438714602354,0.0028812284856322688,0.0029057526521560255,0.0028485561602932742,0.0028892023989228366,0.0028633090643740426,0.0028284161182421477,0.0028485561602932742,0.002872444772844974,0.0028892023989228366
Average_capacity,543.247,540.877,539.057,541.952,540.562,541.593,540.443,541.952,541.383,540.562
Max_capacity,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337
Min_capacity,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119
Total_capacity,34767.812,35157.062,35038.714,35226.932,35136.533,35203.575,35128.809,35226.932,35189.958,35136.533
Blocking_event,93,98,56,68,47,67,110,109,90,110
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,64,65,65,65,65,65,65,65,65,65
