Shannon-Rate,Flex-Rate,Fixed-Rate
0.0027858708183031,0.0026541294955353,0.0027306371013685006
0.0029240527047042,0.002640457341325,0.0030000652460362006
0.0030676620317473,0.002981756175687,0.0028690122704828
0.0030401567695092,0.0029262796346864,0.0028400561892450997
0.0029891419604351,0.002845999471954,0.0030346791877848
0.00281702095106,0.0028063658528775,0.0027043368654702
0.0027692470432331,0.0028522687380324,0.0031640945213077002
0.0028679788353902,0.0028139125542749,0.0031047210145054003
0.002820412058426,0.0027427736253701,0.0030880904280664
0.0028383219435785,0.0028737829605583,0.0030136362004332005
