Shannon-Rate,Flex-Rate,Fixed-Rate
11028.172000000002,7800.0,2000.0
11020.865000000002,7600.0,4600.0
10989.798,8000.0,7300.0
10831.424,8000.0,10100.0
13082.312000000002,18000.0,11400.0
23020.553000000004,19000.0,11700.0
25260.377000000004,18200.0,13700.0
25480.339000000004,18200.0,14500.0
25038.133999999995,29000.0,14400.0
28452.513,28600.0,13800.0
