Shannon-Rate,Flex-Rate,Fixed-Rate
21.40105412976462,21.571547557739414,21.48438518597601
21.355526632136872,21.703979896553765,20.69617437783216
20.45800515959408,20.91512607040845,21.268456833157643
20.65282969429029,20.955051645343183,21.24140718985444
21.20777241503664,21.30439382719123,21.0163369445446
21.15482851491132,21.10676905603867,21.337950499688453
21.37265490513185,21.19553229926291,20.99894995219913
21.42224508289087,21.424265932880463,20.83953111910392
20.991561998521863,21.38192009268556,20.96661293483839
21.105506539654403,21.255015264473208,20.69591080362461
