,1,2,3,4,5,6,7,8,9,10
SNR,20.903357256602646,21.324367773958866,21.391941123597555,21.398526069742395,21.31338029036663,21.15400685337868,21.320185965425935,21.28885909822007,21.398167086933135,21.327499222876405
Latency,0.0029836290717602924,0.002908263018491034,0.0028054786770905413,0.0028559611650871165,0.002902163406560854,0.0029393509024140925,0.002896240540277969,0.0029575223094664947,0.0028616900135216856,0.002911351514739238
Average_capacity,544.141,548.317,546.977,552.734,544.476,548.336,545.621,547.209,551.507,548.304
Max_capacity,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177
Min_capacity,463.931,463.931,463.931,463.931,420.447,463.931,463.931,430.707,463.931,463.931
Total_capacity,33736.801,34544.007,33912.598,34269.538,34302.009,34545.224,34374.168,33926.978,33641.945,33994.883
Blocking_event,51,106,79,83,62,95,96,54,82,86
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,16.99564220340178,17.71041049873793,17.71041049873793,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,62,63,62,62,63,63,63,62,61,62
