Fixed-Rate,Flex-Rate,Shannon-Rate
67.3,54.0,56.0
97.1,67.7,48.6
47.7,63.6,60.9
39.3,63.6,60.6
29.8,93.7,76.7
29.7,77.2,87.7
28.6,75.1,95.8
29.0,88.6,98.1
29.0,51.7,81.8
29.0,58.8,79.4
