Fixed-Rate,Flex-Rate,Shannon-Rate
17.71041049873793,17.71041049873793,17.71041049873793
17.71041049873793,17.71041049873793,17.71041049873793
16.686876440443,17.71041049873793,17.71041049873793
15.994403557040846,17.71041049873793,17.71041049873793
15.934187115185583,17.71041049873793,17.71041049873793
16.16387531606936,17.71041049873793,17.71041049873793
16.69235322048662,17.50953890373745,17.638933669204313
16.542837098702517,17.71041049873793,17.71041049873793
16.20991432642059,16.708392135023942,17.71041049873793
16.674599552502823,16.780853245797314,17.638933669204313
