Fixed-Rate,Flex-Rate,Shannon-Rate
0.0028302197623694,0.0028040428531296,0.00279903929663903
0.0028022721986731,0.0027921016162926,0.0027896597378851097
0.0028721092411179,0.002884333994665,0.00280139188131693
0.0030141161255966,0.002869971911749,0.0027837303971292903
0.003100776900999,0.0028589735554398,0.0029242663022359203
0.003042271493435,0.0028422261415888,0.00281747418655899
0.0030666131280832,0.0028907530804833,0.00280877925827488
0.0030351293094061,0.0029036719454913,0.00279991100990327
0.0029477233632846,0.0029988006256713,0.00280259927552476
0.0030535081411214,0.0029730384542918,0.00290216506194087
