,1,2,3,4,5,6,7,8,9,10
SNR,21.334584180236725,21.324337841820423,21.324337841820423,21.309084654162433,21.221783651969535,21.404036500925088,21.27384784093747,21.324337841820427,21.264796924159803,21.27384784093747
Latency,0.0028950418627109275,0.0028793025760328267,0.002879302576032826,0.002895860197694522,0.002910578413494268,0.002829714377030369,0.0029212840140555533,0.002879302576032826,0.002895860197694521,0.002921284014055553
Average_capacity,377.777,377.777,377.777,374.603,370.312,383.606,374.603,377.777,374.603,374.603
Max_capacity,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Min_capacity,200.0,200.0,200.0,200.0,100.0,200.0,200.0,200.0,200.0,200.0
Total_capacity,23800.0,23800.0,23800.0,23600.0,23700.0,23400.0,23600.0,23800.0,23600.0,23600.0
Blocking_event,88,86,64,75,106,87,41,76,76,52
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,15.701694548733165,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,63,63,63,63,64,61,63,63,63,63
