,1,2,3,4,5,6,7,8,9,10
SNR,21.11480328704645,21.12956795566163,21.118254551228336,21.13779146926611,21.103977342072135,21.164569027330778,21.164569027330778,21.159804287380005,21.219391573716177,21.00027448292338
Latency,0.0028797489829029458,0.0028408320078856693,0.002884371077338607,0.002854908381362263,0.0028833474200228196,0.0028382036610987245,0.002838203661098724,0.0028443986195926586,0.002803680572554079,0.002894884424062035
Average_capacity,378.494,378.494,378.26,380.645,378.494,382.608,382.608,378.26,386.666,378.494
Max_capacity,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Min_capacity,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Total_capacity,35200.0,35200.0,34800.0,35400.0,35200.0,35200.0,35200.0,34800.0,34800.0,35200.0
Blocking_event,110,93,60,92,85,159,175,92,126,118
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,93,93,92,93,93,92,92,92,90,93
