,1,2,3,4,5,6,7,8,9,10
SNR,21.09838872581163,21.09838872581163,21.047921180724707,21.07531649698441,21.094856789328666,21.08226807401913,21.06845862546486,20.891915338404207,21.06409997116066,21.047921180724707
Latency,0.0028793025760328267,0.002879302576032826,0.0029212840140555533,0.002906558144909266,0.002883825879060143,0.002883782363966958,0.002923414869976282,0.0029383148295420137,0.0029130121180492483,0.002923561696115136
Average_capacity,377.777,377.777,374.603,374.603,374.603,374.193,374.193,374.603,374.603,374.603
Max_capacity,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Min_capacity,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Total_capacity,23800.0,23800.0,23600.0,23600.0,23600.0,23200.0,23200.0,23600.0,23600.0,23600.0
Blocking_event,74,94,102,54,130,75,65,96,102,77
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,63,63,63,63,63,62,62,63,63,63
