,1,2,3,4,5,6,7,8,9,10
SNR,21.126935988573358,21.17811428277949,21.126935988573365,21.14334354241061,21.149073237718138,20.9686793423375,21.169293515490082,21.219391573716177,21.201607339867913,21.219391573716177
Latency,0.002873025942783182,0.002829714377030369,0.002869898523910916,0.0028675861138055085,0.0028744706107885656,0.002890661458523465,0.0028454346846574167,0.0028036805725540795,0.0028356451980624097,0.002803680572554078
Average_capacity,380.327,383.606,380.327,380.327,380.0,380.327,380.327,386.666,380.0,386.666
Max_capacity,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Min_capacity,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Total_capacity,23200.0,23400.0,23200.0,23200.0,22800.0,23200.0,23200.0,23200.0,22800.0,23200.0
Blocking_event,146,100,79,68,73,58,129,58,69,70
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,61,61,61,61,60,61,61,60,60,60
