,1,2,3,4,5,6,7,8,9,10
SNR,21.268246977996128,21.32710857948483,21.226375716712727,21.304992206994193,21.317308196073093,21.31171657802995,21.381768956652913,21.338681846084366,21.296591866687443,21.276737955139076
Latency,0.0029283731698369446,0.002894546481615152,0.003041267274250311,0.002905303101090257,0.002875949008024758,0.00286912266525412,0.002797738898516683,0.002862848469242765,0.0029406736408868718,0.0029370209791357233
Average_capacity,546.633,545.456,544.567,548.782,543.62,548.109,547.648,547.993,543.64,548.361
Max_capacity,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177
Min_capacity,430.707,463.931,437.905,463.931,463.931,463.931,463.931,463.931,430.707,463.931
Total_capacity,34437.928,34363.736,34852.333,34573.267,33704.495,34530.873,33954.204,34523.578,34249.327,33998.385
Blocking_event,62,103,61,101,66,72,79,68,100,92
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,16.99564220340178,17.71041049873793,17.71041049873793,16.99564220340178,17.71041049873793,17.71041049873793,17.71041049873793,16.99564220340178,17.71041049873793,16.99564220340178
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,63,63,64,63,62,63,62,63,63,62
