,1,2,3,4,5,6,7,8,9,10
SNR,20.9419721936588,20.95208459322743,20.926989940264654,21.01987077238124,20.94642902581235,20.643766993448082,21.046601642756244,20.831957909155005,20.800860776355936,21.021592928496823
Latency,0.0030490193734163435,0.0030020262209457787,0.003043725629409969,0.0029415350022183474,0.002966611594755676,0.0031607097415645028,0.0029092398327268507,0.003277518892098562,0.0029540894858600887,0.002982802271968472
Average_capacity,88.157,90.566,92.073,90.849,87.5,89.743,90.683,89.743,88.888,92.207
Max_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Min_capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_capacity,13400.0,14400.0,15100.0,13900.0,13300.0,14000.0,14600.0,14000.0,13600.0,14200.0
Blocking_event,46,40,36,30,37,49,35,44,57,44
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,16.51629731202443,15.06009427065403,16.00773535878527,15.629689343163909,14.971441722174767,15.629689343163909,14.193884291010495,15.85956913668866,16.729697808145897,15.460256738012808
Rejected_connections,18,15,13,14,19,16,15,16,17,12
Accepted_connections,134,144,151,139,133,140,146,140,136,142
