Fixed-Rate,Flex-Rate,Shannon-Rate
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
9.8,0.0,0.0
15.5,0.0,0.0
21.5,0.0,0.0
24.3,0.0,0.0
27.3,0.0,0.0
28.6,0.0,0.0
