Fixed-Rate,Flex-Rate,Shannon-Rate
21.221600264940747,21.178361020684477,21.236059638628838
21.19114830076138,21.09165295631494,21.237705813755806
21.21378240619129,21.09347453495362,21.21032628643411
21.09598041464832,21.05399685731618,21.240516213246575
20.997353979308656,21.162704219989877,20.909607901172105
20.913212677555656,21.15027663851828,20.928241255112813
20.93865179344936,21.07288887859186,21.241954898279523
20.964240992483703,21.05695351084346,21.242652668862615
20.940618459587142,21.131300300395573,21.22283758123105
20.91448377082006,21.108623928925944,21.035407273192412
