Fixed-Rate,Flex-Rate,Shannon-Rate
17.48254060283849,17.48254060283849,17.48254060283849
17.48254060283849,17.48254060283849,17.48254060283849
17.48254060283849,17.48254060283849,17.48254060283849
16.590877010989036,17.48254060283849,17.48254060283849
16.629235288310475,17.48254060283849,17.48254060283849
15.605835532382418,17.48254060283849,17.48254060283849
15.775238738409389,17.48254060283849,17.48254060283849
15.92865173814288,17.48254060283849,17.48254060283849
15.817200738650138,17.48254060283849,17.48254060283849
15.829228097287592,17.48254060283849,17.48254060283849
