Fixed-Rate,Flex-Rate,Shannon-Rate
65.7,52.1,55.9
79.9,61.0,66.9
109.8,54.8,61.7
109.0,62.9,67.4
55.0,93.8,68.8
41.8,85.0,88.5
34.3,87.6,76.9
30.6,86.9,70.6
29.9,111.0,88.8
29.4,105.3,84.8
